start	end	dom_order
77500	133500	1
199500	238500	1
238500	486500	1
486500	749500	1
749500	859500	1
859500	920500	1
920500	1021500	1
1021500	1191500	1
1191500	1276500	1
1276500	1389500	1
1389500	1445500	1
1445500	1480500	1
1480500	1606500	1
1606500	1674500	1
1674500	1811500	1
1811500	1852500	1
1852500	1941500	1
1941500	2013500	1
2013500	2096500	1
2096500	2149500	1
2149500	2231500	1
2231500	2277500	1
2277500	2331500	1
2331500	2390500	1
2390500	2477500	1
2477500	2556500	1
2556500	2749500	1
2749500	2787500	1
2787500	2949500	1
2949500	3034500	1
3034500	3069500	1
3069500	3282500	1
3282500	3325500	1
3325500	3502500	1
3502500	3543500	1
3543500	3570500	1
3570500	3629500	1
3629500	3661500	1
3661500	3751500	1
3771500	3849500	1
3856500	3889500	1
3899500	3942500	1
3942500	4207500	1
4207500	4243500	1
4243500	4340500	1
4340500	4468500	1
4468500	4530500	1
4530500	4559500	1
4559500	4638500	1
4638500	4670500	1
4670500	4728500	1
4728500	4799500	1
4799500	4911500	1
4911500	4971500	1
4971500	4999500	1
238500	318500	2
344500	486500	2
486500	661500	2
661500	749500	2
749500	769500	2
769500	793500	2
793500	859500	2
859500	889500	2
889500	920500	2
1191500	1241500	2
1241500	1276500	2
1480500	1506500	2
1506500	1606500	2
1606500	1646500	2
1646500	1674500	2
1700500	1780500	2
2013500	2044500	2
2044500	2096500	2
2390500	2456500	2
2556500	2700500	2
2700500	2749500	2
2969500	3034500	2
3069500	3180500	2
3180500	3282500	2
3325500	3429500	2
3429500	3502500	2
3661500	3706500	2
3706500	3751500	2
4264500	4340500	2
