start	end	dom_order
12500	687500	1
687500	1287500	1
1287500	1862500	1
1862500	2037500	1
2037500	2437500	1
2437500	2887500	1
2887500	3212500	1
3212500	3537500	1
3537500	3837500	1
3837500	4212500	1
4212500	5737500	1
5737500	5937500	1
5937500	6487500	1
6487500	6862500	1
6862500	7462500	1
7462500	7912500	1
7912500	8562500	1
8562500	9287500	1
9287500	9887500	1
9887500	10512500	1
10512500	10862500	1
10862500	11612500	1
11612500	11862500	1
11862500	12562500	1
12562500	12712500	1
12712500	13137500	1
13137500	13787500	1
13787500	14137500	1
14137500	14462500	1
14462500	14762500	1
14762500	15137500	1
15137500	15387500	1
15387500	15587500	1
15587500	16012500	1
16012500	16187500	1
16187500	16462500	1
18187500	19287500	1
19287500	19637500	1
19637500	20812500	1
20812500	21487500	1
21487500	22012500	1
22012500	22837500	1
22837500	23162500	1
23162500	23812500	1
23812500	24462500	1
27187500	27937500	1
27937500	28362500	1
28362500	28962500	1
28962500	29262500	1
29262500	29587500	1
29587500	29937500	1
29937500	30662500	1
30662500	31462500	1
31462500	31887500	1
31887500	32187500	1
32187500	32887500	1
32887500	33512500	1
33512500	33762500	1
33762500	34412500	1
34412500	35012500	1
35012500	36187500	1
36187500	37837500	1
37837500	39387500	1
39387500	39912500	1
39912500	40312500	1
40312500	40862500	1
40862500	41262500	1
41262500	41787500	1
41787500	42637500	1
42637500	43437500	1
43437500	44237500	1
44237500	44512500	1
44512500	45937500	1
45937500	46337500	1
46337500	46587500	1
46587500	47037500	1
47037500	47237500	1
47237500	47762500	1
47762500	48362500	1
48362500	48662500	1
48662500	48937500	1
48937500	49662500	1
49662500	51112500	1
51112500	51762500	1
51762500	54187500	1
54187500	54762500	1
54762500	55062500	1
55062500	55437500	1
55437500	55737500	1
55737500	56437500	1
56437500	57212500	1
57212500	58037500	1
58037500	58787500	1
687500	1037500	2
1037500	1287500	2
5937500	6162500	2
6162500	6487500	2
6862500	7112500	2
7112500	7462500	2
47237500	47487500	2
47487500	47762500	2
54187500	54437500	2
54437500	54762500	2
