start	end	dom_order
235500	286500	1
286500	399500	1
399500	504500	1
504500	662500	1
662500	918500	1
918500	984500	1
1020500	1198500	1
1276500	1548500	1
1548500	1599500	1
1599500	1774500	1
1774500	1851500	1
1851500	1900500	1
1900500	1939500	1
1939500	2019500	1
2019500	2098500	1
2098500	2149500	1
2149500	2228500	1
2228500	2400500	1
2400500	2474500	1
2474500	2615500	1
2615500	2747500	1
2817500	2950500	1
2950500	3032500	1
3032500	3069500	1
3069500	3198500	1
3198500	3272500	1
3272500	3310500	1
3310500	3502500	1
3502500	3546500	1
3546500	3762500	1
3762500	3997500	1
3997500	4061500	1
4061500	4206500	1
4206500	4401500	1
4401500	4471500	1
4471500	4556500	1
4556500	4639500	1
4639500	4725500	1
4725500	4800500	1
4800500	4866500	1
4866500	4999500	1
286500	346500	2
346500	377500	2
377500	399500	2
504500	536500	2
536500	570500	2
570500	611500	2
611500	662500	2
662500	737500	2
737500	799500	2
799500	918500	2
918500	951500	2
951500	984500	2
1020500	1066500	2
1066500	1104500	2
1104500	1198500	2
1308500	1445500	2
1480500	1502500	2
1512500	1548500	2
1548500	1566500	2
1566500	1599500	2
1599500	1648500	2
1648500	1672500	2
1672500	1696500	2
1696500	1774500	2
1774500	1811500	2
1811500	1851500	2
1939500	1961500	2
1961500	1999500	2
1999500	2019500	2
2019500	2051500	2
2051500	2098500	2
2228500	2346500	2
2346500	2400500	2
2400500	2426500	2
2426500	2474500	2
2474500	2562500	2
2562500	2595500	2
2595500	2615500	2
2615500	2680500	2
2680500	2701500	2
2701500	2747500	2
2817500	2884500	2
2884500	2950500	2
3069500	3103500	2
3103500	3128500	2
3128500	3198500	2
3310500	3430500	2
3430500	3502500	2
3546500	3575500	2
3575500	3702500	2
3702500	3722500	2
3722500	3762500	2
3762500	3851500	2
3851500	3997500	2
4061500	4182500	2
4182500	4206500	2
4206500	4248500	2
4248500	4344500	2
4344500	4369500	2
4369500	4401500	2
4639500	4669500	2
4669500	4725500	2
4866500	4910500	2
4910500	4969500	2
4969500	4999500	2
