start	end	dom_order
87500	812500	1
812500	1262500	1
1262500	1862500	1
1862500	2637500	1
2637500	2887500	1
2887500	3262500	1
3262500	3537500	1
3537500	3912500	1
3912500	4212500	1
4212500	4987500	1
4987500	5662500	1
5662500	6462500	1
6462500	6912500	1
6912500	7487500	1
7487500	7937500	1
7937500	8312500	1
8312500	8587500	1
8587500	9112500	1
9112500	9812500	1
9812500	10862500	1
10862500	11587500	1
11587500	12587500	1
12587500	13162500	1
13162500	13837500	1
13837500	14537500	1
14537500	15087500	1
15087500	15587500	1
15587500	16087500	1
16087500	17312500	1
17312500	18412500	1
18412500	19012500	1
19637500	20737500	1
20737500	21487500	1
21487500	22912500	1
22912500	29537500	1
29537500	30112500	1
30112500	30712500	1
30712500	32262500	1
32262500	32562500	1
32562500	33162500	1
33162500	33412500	1
33412500	34162500	1
34162500	34437500	1
34437500	35037500	1
35037500	36262500	1
36262500	36962500	1
36962500	37212500	1
37212500	37862500	1
37862500	38412500	1
38412500	38987500	1
38987500	39487500	1
39487500	39887500	1
39887500	40262500	1
40262500	40637500	1
40637500	41312500	1
41312500	43437500	1
43437500	43787500	1
43787500	44587500	1
44587500	44862500	1
44862500	45412500	1
45412500	45737500	1
45737500	46587500	1
46587500	47262500	1
47262500	47862500	1
47862500	48637500	1
48637500	48962500	1
48962500	49462500	1
49462500	50337500	1
50337500	51737500	1
51737500	52287500	1
52287500	52912500	1
52912500	53537500	1
53537500	54137500	1
54137500	54412500	1
54412500	55087500	1
55087500	55687500	1
55687500	56387500	1
56387500	57162500	1
57162500	57987500	1
57987500	58787500	1
16087500	16462500	2
16462500	16687500	2
16687500	17312500	2
19637500	19962500	2
19962500	20737500	2
22912500	24512500	2
27212500	29537500	2
40637500	40887500	2
40887500	41312500	2
41312500	42037500	2
42037500	42362500	2
42362500	43437500	2
45737500	46312500	2
46312500	46587500	2
54412500	54687500	2
54687500	55087500	2
