start	end	dom_order
113500	489500	1
489500	508500	1
508500	532500	1
532500	572500	1
572500	662500	1
662500	681500	1
681500	742500	1
742500	797500	1
797500	861500	1
861500	921500	1
921500	983500	1
983500	1021500	1
1021500	1066500	1
1066500	1105500	1
1105500	1197500	1
1197500	1240500	1
1240500	1274500	1
1274500	1343500	1
1343500	1382500	1
1382500	1407500	1
1407500	1546500	1
1546500	1567500	1
1567500	1591500	1
1591500	1647500	1
1647500	1672500	1
1672500	1786500	1
1786500	1812500	1
1812500	1851500	1
1851500	1903500	1
1903500	1941500	1
1941500	2015500	1
2015500	2049500	1
2049500	2097500	1
2097500	2150500	1
2150500	2236500	1
2236500	2273500	1
2273500	2318500	1
2318500	2393500	1
2393500	2426500	1
2426500	2454500	1
2454500	2477500	1
2477500	2557500	1
2557500	2594500	1
2594500	2612500	1
2612500	2679500	1
2679500	2702500	1
2702500	2747500	1
2747500	2784500	1
2784500	2818500	1
2818500	2951500	1
2951500	3036500	1
3036500	3063500	1
3063500	3127500	1
3127500	3184500	1
3184500	3274500	1
3274500	3328500	1
3328500	3360500	1
3360500	3432500	1
3432500	3506500	1
3506500	3554500	1
3554500	3575500	1
3575500	3665500	1
3665500	3723500	1
3723500	3761500	1
3761500	3832500	1
3832500	3850500	1
3850500	3934500	1
3934500	3965500	1
3965500	3988500	1
3988500	4066500	1
4066500	4125500	1
4125500	4140500	1
4140500	4182500	1
4182500	4206500	1
4206500	4229500	1
4229500	4248500	1
4248500	4328500	1
4328500	4344500	1
4344500	4370500	1
4370500	4402500	1
4402500	4455500	1
4455500	4471500	1
4471500	4557500	1
4557500	4638500	1
4638500	4668500	1
4668500	4724500	1
4724500	4791500	1
4791500	4810500	1
4810500	4867500	1
4867500	4910500	1
4910500	4969500	1
4969500	4999500	1
346500	371500	2
371500	466500	2
466500	489500	2
572500	607500	2
607500	633500	2
633500	662500	2
921500	952500	2
952500	983500	2
1105500	1133500	2
1133500	1171500	2
1407500	1480500	2
1491500	1512500	2
1512500	1546500	2
1591500	1606500	2
1606500	1647500	2
1851500	1864500	2
1864500	1903500	2
2818500	2887500	2
2887500	2951500	2
3184500	3228500	2
3228500	3253500	2
3253500	3274500	2
3360500	3407500	2
3407500	3432500	2
3432500	3485500	2
3485500	3506500	2
3761500	3782500	2
3782500	3811500	2
3811500	3832500	2
3988500	4010500	2
4010500	4066500	2
4248500	4269500	2
4269500	4328500	2
4557500	4577500	2
4577500	4599500	2
4599500	4638500	2
