start	end	dom_order
62500	1037500	1
1037500	1287500	1
1287500	1887500	1
1887500	2437500	1
2437500	2612500	1
2612500	3212500	1
3212500	4212500	1
4212500	4437500	1
6412500	7912500	1
7912500	8587500	1
8587500	9162500	1
9162500	9562500	1
9562500	9862500	1
12887500	13137500	1
13137500	13812500	1
13812500	14137500	1
14137500	14487500	1
14487500	14762500	1
14762500	15162500	1
16012500	21512500	1
21512500	24487500	1
27187500	30112500	1
30112500	30712500	1
30712500	32212500	1
33512500	33737500	1
33737500	34187500	1
34187500	34362500	1
34362500	37837500	1
42337500	43612500	1
43612500	44662500	1
45337500	46862500	1
46862500	47062500	1
47062500	47787500	1
47787500	48312500	1
48312500	48612500	1
48612500	48837500	1
48837500	49862500	1
49862500	50937500	1
50937500	51112500	1
51112500	51312500	1
51312500	54112500	1
54112500	55112500	1
55112500	55687500	1
55687500	56062500	1
56062500	56362500	1
56362500	57187500	1
57187500	57387500	1
57387500	58787500	1
2612500	2812500	2
2812500	2962500	2
2962500	3212500	2
19637500	21512500	2
21512500	23387500	2
23387500	24487500	2
27187500	27962500	2
27962500	28362500	2
36837500	37262500	2
37262500	37837500	2
45937500	46337500	2
46337500	46862500	2
49862500	50312500	2
50312500	50937500	2
54112500	54437500	2
54437500	54687500	2
54687500	55112500	2
