start	end	dom_order
79500	132500	1
132500	381500	1
381500	417500	1
417500	480500	1
480500	506500	1
506500	528500	1
528500	571500	1
571500	633500	1
633500	795500	1
795500	922500	1
922500	984500	1
984500	1021500	1
1021500	1104500	1
1104500	1176500	1
1176500	1238500	1
1238500	1276500	1
1276500	1336500	1
1344500	1383500	1
1383500	1405500	1
1405500	1442500	1
1442500	1516500	1
1516500	1605500	1
1605500	1673500	1
1673500	1724500	1
1724500	1774500	1
1774500	1791500	1
1791500	1851500	1
1851500	1904500	1
1904500	1939500	1
1939500	2018500	1
2018500	2047500	1
2047500	2097500	1
2097500	2150500	1
2150500	2235500	1
2235500	2272500	1
2272500	2287500	1
2287500	2330500	1
2330500	2458500	1
2458500	2477500	1
2477500	2558500	1
2558500	2595500	1
2595500	2611500	1
2611500	2679500	1
2679500	2702500	1
2702500	2748500	1
2748500	2786500	1
2786500	2819500	1
2819500	2948500	1
2948500	3034500	1
3034500	3066500	1
3066500	3185500	1
3185500	3225500	1
3225500	3272500	1
3272500	3323500	1
3323500	3485500	1
3485500	3508500	1
3508500	3544500	1
3544500	3572500	1
3572500	3623500	1
3623500	3664500	1
3664500	3708500	1
3708500	3724500	1
3724500	3761500	1
3761500	3968500	1
3968500	3989500	1
3989500	4063500	1
4063500	4124500	1
4124500	4139500	1
4139500	4245500	1
4245500	4294500	1
4294500	4325500	1
4325500	4346500	1
4346500	4370500	1
4370500	4401500	1
4401500	4456500	1
4456500	4637500	1
4637500	4670500	1
4670500	4727500	1
4727500	4791500	1
4806500	4999500	1
199500	302500	2
302500	381500	2
571500	610500	2
610500	633500	2
795500	858500	2
858500	890500	2
890500	922500	2
922500	950500	2
950500	984500	2
1021500	1044500	2
1044500	1104500	2
1104500	1133500	2
1133500	1176500	2
1276500	1297500	2
1297500	1336500	2
1516500	1545500	2
1545500	1605500	2
1791500	1811500	2
1811500	1851500	2
2330500	2425500	2
2425500	2458500	2
2948500	3015500	2
3015500	3034500	2
3066500	3164500	2
3164500	3185500	2
3272500	3301500	2
3301500	3323500	2
3323500	3432500	2
3432500	3485500	2
3761500	3782500	2
3782500	3802500	2
3802500	3827500	2
3827500	3914500	2
3914500	3968500	2
3989500	4011500	2
4011500	4043500	2
4043500	4063500	2
4139500	4159500	2
4159500	4184500	2
4184500	4229500	2
4229500	4245500	2
4456500	4519500	2
4519500	4564500	2
4564500	4637500	2
4806500	4838500	2
4838500	4866500	2
4866500	4968500	2
4968500	4999500	2
