,0,1,2,3,4,5,RNA_rpkms,degree,TAD Volume,loop nums
0,chr1,2190000,3430000,10,0.437330413600648,0.614113514708184,1.655916582784431,small,0.437330413600648,10
3,chr1,6040000,6700000,3,0.203750635011828,0.52553177437634,2.934011611518817,small,0.203750635011828,3
12,chr1,11650000,12660000,5,0.451233731138018,0.482665928191932,3.230108401106763,small,0.451233731138018,5
18,chr1,16070000,18590000,8,1.00229958019223,0.440483619050822,2.7473961096244586,small,1.00229958019223,8
26,chr1,20510000,22660000,10,1.12856412648367,0.459871094794891,3.024719942415485,small,1.12856412648367,10
28,chr1,22970000,23690000,6,0.185797582856672,0.718184883103063,2.965398115328724,small,0.185797582856672,6
34,chr1,26030000,26470000,2,0.0983247906909808,0.588044385548852,1.0382856631241708,small,0.0983247906909808,2
37,chr1,26890000,28240000,8,0.540674736892097,0.526690669705745,3.182422582327449,small,0.540674736892097,8
41,chr1,30920000,32880000,8,1.09759463160956,0.428305630065615,3.860609396211179,small,1.09759463160956,8
53,chr1,39100000,40040000,3,0.289657188355197,0.47722982058058,1.3334910848627073,small,0.289657188355197,3
54,chr1,40040000,40960000,6,0.235627885793504,0.647572227650739,3.2450102496428763,small,0.235627885793504,6
57,chr1,41250000,43710000,2,1.20319110398586,0.278691857950977,4.9459045873457335,small,1.20319110398586,2
66,chr1,47170000,47730000,2,0.156401172315669,0.502688146428535,1.680605666202593,small,0.156401172315669,2
69,chr1,50770000,52010000,2,0.429076563120369,0.379008102876931,2.7197232351236567,small,0.429076563120369,2
73,chr1,53470000,54490000,4,0.369715548465674,0.480607701369755,3.131996851527247,small,0.369715548465674,4
96,chr1,75720000,77140000,4,0.348577338102202,0.488606443961596,2.353958388894692,small,0.348577338102202,4
115,chr1,92840000,93850000,3,0.21570520880774,0.516381638437226,1.5733260479755056,small,0.21570520880774,3
127,chr1,107750000,109780000,11,0.648994216515601,0.551587492844494,2.337147896491307,small,0.648994216515601,11
141,chr1,114340000,115120000,6,0.167448115954713,0.743069143422644,3.8016191272872457,small,0.167448115954713,6
142,chr1,115120000,116500000,6,0.478600617464508,0.499173602693115,3.5057956782334454,small,0.478600617464508,6
154,chr1,152050000,153790000,20,0.638858008856226,0.709738832333161,3.4556974520128576,small,0.638858008856226,20
156,chr1,153990000,154950000,9,0.250823360916273,0.744325031421511,5.1302219352649985,small,0.250823360916273,9
159,chr1,156340000,157170000,9,0.339801555098773,0.658886292731349,3.5200753790843167,small,0.339801555098773,9
176,chr1,167560000,168600000,2,0.368331835354642,0.392829529243725,1.373201271837634,small,0.368331835354642,2
213,chr1,186300000,192460000,6,1.79718767765992,0.345817458631781,1.1381591452294704,small,1.79718767765992,6
215,chr1,193060000,201820000,13,2.42988951781657,0.390261157104221,1.959287940041679,small,2.42988951781657,13
218,chr1,202000000,203010000,2,0.366312211476186,0.395071527869899,2.0562505603206795,small,0.366312211476186,2
226,chr1,204510000,208010000,28,1.39223599010938,0.580910481330067,2.5728118930066217,small,1.39223599010938,28
234,chr1,212040000,212470000,2,0.0756579749889653,0.657531020821395,1.7623222366402527,small,0.0756579749889653,2
247,chr1,225480000,226000000,2,0.0819675697541241,0.635450486223803,3.6527159311528865,small,0.0819675697541241,2
249,chr1,226060000,226410000,1,0.0640031988818082,0.538670283729864,3.629560623136021,small,0.0640031988818082,1
267,chr1,236100000,241530000,2,1.81169958677714,0.268555825953076,2.2045458285408306,small,1.81169958677714,2
278,chr10,5440000,6410000,4,0.22399655404637,0.558324193687813,2.8797403573407627,small,0.22399655404637,4
289,chr10,14490000,15380000,4,0.182833214799074,0.60196627463638,2.081230047816486,small,0.182833214799074,4
293,chr10,16820000,17260000,2,0.0469737330251849,0.79265816285145,-3.6082322800440036,small,0.0469737330251849,2
294,chr10,17260000,18680000,14,0.370309000254043,0.753177240457562,1.1158239774362406,small,0.370309000254043,14
302,chr10,26890000,28390000,8,0.292550378165857,0.664135373579447,1.3916073505043056,small,0.292550378165857,8
305,chr10,28670000,30350000,3,0.556022074159843,0.391178205393672,1.6184736030824796,small,0.556022074159843,3
306,chr10,30350000,31810000,2,0.297465681118359,0.413528904302532,-0.269251370583787,small,0.297465681118359,2
307,chr10,31810000,33330000,18,0.452459582076386,0.766120786329942,2.5374534584809414,small,0.452459582076386,18
323,chr10,50750000,52220000,2,0.238718337961752,0.451390539354353,2.6028250373304846,small,0.238718337961752,2
324,chr10,52220000,58180000,15,1.34697880122868,0.483774651085473,4.119090524036873,small,1.34697880122868,15
333,chr10,63160000,63870000,2,0.101781105753599,0.576968507474134,0.8892788337055366,small,0.101781105753599,2
334,chr10,63870000,67780000,2,0.617328533531259,0.343236009634801,-0.7705351268599079,small,0.617328533531259,2
336,chr10,67850000,68330000,2,0.054211433663302,0.746841258421097,0.3586775713152304,small,0.054211433663302,2
339,chr10,69410000,70890000,17,0.525793022538315,0.720528489433967,3.7928640265490197,small,0.525793022538315,17
343,chr10,75400000,77170000,2,0.44483523644908,0.371713266353346,-0.7160782276923828,small,0.44483523644908,2
349,chr10,80250000,84120000,20,0.828268436570745,0.632437268837927,4.150941420361071,small,0.828268436570745,20
350,chr10,84120000,84540000,2,0.0639283260675261,0.708170171810518,3.8054536920125708,small,0.0639283260675261,2
362,chr10,93520000,95120000,2,0.381188077862747,0.386955351822154,4.699645590513134,small,0.381188077862747,2
369,chr10,97750000,98460000,7,0.165059652515902,0.791681340419932,2.154656113145818,small,0.165059652515902,7
371,chr10,99840000,100290000,2,0.050302260703521,0.764773594578923,2.69622570918371,small,0.050302260703521,2
374,chr10,100880000,101580000,2,0.156043544869583,0.503752132649517,3.3203546996365176,small,0.156043544869583,2
390,chr10,112140000,113130000,4,0.206903030207906,0.57097199647654,2.284091043109277,small,0.206903030207906,4
393,chr10,114110000,114820000,5,0.156421411960955,0.715671392168408,4.607359907190518,small,0.156421411960955,5
400,chr10,119600000,120940000,8,0.394912173374841,0.585314912572119,2.5022264339198377,small,0.394912173374841,8
402,chr10,122270000,123990000,2,0.517777787350385,0.355662916705425,1.7932439047593676,small,0.517777787350385,2
405,chr10,124800000,130190000,2,1.97635347031841,0.266119130407641,1.4772369405065,small,1.97635347031841,2
407,chr10,130240000,132640000,12,0.729269418990672,0.547433035786104,1.6094082703347137,small,0.729269418990672,12
412,chr11,4140000,7510000,8,1.16105597517712,0.418216395292126,1.5134907455881181,small,1.16105597517712,8
414,chr11,7690000,8570000,4,0.275165414401058,0.524617783879892,2.6160753415714053,small,0.275165414401058,4
415,chr11,8570000,10750000,23,0.872154438142732,0.656534099158433,2.3686868780477597,small,0.872154438142732,23
431,chr11,17980000,19560000,2,0.663177901009318,0.325953352913269,3.725787291138846,small,0.663177901009318,2
440,chr11,27170000,27510000,2,0.048499565741577,0.781997777233191,2.770955870791122,small,0.048499565741577,2
445,chr11,34360000,34910000,2,0.103220108449342,0.571866409516345,3.588424818379314,small,0.103220108449342,2
450,chr11,43310000,43880000,3,0.148415162217368,0.584110197242703,1.910948474473319,small,0.148415162217368,3
463,chr11,57820000,59550000,17,0.598715689077983,0.676617063083936,0.7267306305578445,small,0.598715689077983,17
466,chr11,59810000,60760000,1,0.206295253062066,0.382145963356514,,small,0.206295253062066,1
471,chr11,62890000,63760000,6,0.148828178188479,0.770850846676778,0.5051056387160558,small,0.148828178188479,6
482,chr11,77630000,78570000,4,0.226853166967009,0.556490628688922,1.4333452617532516,small,0.226853166967009,4
485,chr11,82900000,83290000,3,0.0679018985731542,0.809740775522753,0.35338602930910423,small,0.0679018985731542,3
493,chr11,87340000,89630000,2,0.626452749289183,0.338071149284509,2.785027362235466,small,0.626452749289183,2
501,chr11,100930000,102280000,5,0.464793605047204,0.479722496392466,2.866116701534333,small,0.464793605047204,5
502,chr11,102280000,108660000,16,2.55621546252546,0.406292915406817,2.369609171798028,small,2.55621546252546,16
508,chr11,111280000,111870000,4,0.16767087710221,0.6273483499507,1.445382406845802,small,0.16767087710221,4
513,chr11,114270000,116740000,4,1.08238911400255,0.34905808397756,1.8824753656174091,small,1.08238911400255,4
515,chr11,117100000,117810000,5,0.211820183338056,0.623096518288186,2.0891899551059683,small,0.211820183338056,5
516,chr11,117810000,118360000,2,0.145880295385756,0.510958831289011,0.07343942425134786,small,0.145880295385756,2
518,chr11,118570000,120110000,5,0.717204601172516,0.421374580205058,3.472823804143083,small,0.717204601172516,5
528,chr11,123260000,123740000,2,0.131250299474364,0.533563807463534,-2.7131188522118386,small,0.131250299474364,2
531,chr11,124670000,125890000,3,0.449053309998572,0.412388184687645,2.8700044029208573,small,0.449053309998572,3
541,chr12,570000,1600000,5,0.729944063228739,0.41648374635913,1.5375897500703575,small,0.729944063228739,5
543,chr12,2050000,3040000,14,0.852976561826967,0.546642191756091,2.885997284684548,small,0.852976561826967,14
546,chr12,3880000,4280000,10,0.214815369533347,0.819291580544903,1.4481080437105553,small,0.214815369533347,10
547,chr12,4280000,6280000,9,2.16298300471003,0.365056922325452,0.6915747693306489,small,2.16298300471003,9
550,chr12,9110000,10210000,18,1.02695336422125,0.554482794933994,-0.29898592939842467,small,1.02695336422125,18
558,chr12,12350000,12710000,7,0.151688133999694,0.817766225872676,0.75779134113757,small,0.151688133999694,7
562,chr12,14180000,15000000,5,0.659257181188414,0.434016299639224,1.3328511220721542,small,0.659257181188414,5
570,chr12,22690000,25130000,2,2.2096620521305,0.264979755722445,1.5332144678546955,small,2.2096620521305,2
574,chr12,26100000,27330000,2,1.31740331487024,0.275078070965262,2.2272708864564357,small,1.31740331487024,2
577,chr12,29520000,30820000,2,0.902046435268518,0.299828744523736,2.4858132115963043,small,0.902046435268518,2
586,chr12,42130000,43760000,2,1.87407838248012,0.267049948784139,0.3421564702677939,small,1.87407838248012,2
592,chr12,46360000,46680000,4,0.130541096212666,0.702758846432606,-2.470595475769156,small,0.130541096212666,4
595,chr12,47710000,48640000,6,1.00165240706794,0.402575659388817,1.2653421367167745,small,1.00165240706794,6
596,chr12,48640000,50500000,68,1.65115441302919,0.780922758393948,2.9974803563486554,small,1.65115441302919,68
600,chr12,51420000,52880000,13,1.88357804454573,0.418958336979343,0.7611522754319663,small,1.88357804454573,13
606,chr12,54210000,55620000,27,1.13264346471073,0.626311962128167,4.357313791399945,small,1.13264346471073,27
607,chr12,55620000,56470000,27,0.813428472002894,0.727087877873455,4.010282253752488,small,0.813428472002894,27
609,chr12,56760000,57000000,2,0.0809414483461885,0.639018192258103,-5.522840788813359,small,0.0809414483461885,2
612,chr12,57250000,57750000,9,0.400113638778735,0.611626202006333,2.9146556343620675,small,0.400113638778735,9
614,chr12,57940000,62200000,2,2.62810898609731,0.263794079367357,0.10534284028622279,small,2.62810898609731,2
621,chr12,64400000,64760000,2,0.218346851698842,0.466885575060081,2.631647568021286,small,0.218346851698842,2
622,chr12,64760000,66110000,2,1.44321117617991,0.274205005143657,1.401985363041954,small,1.44321117617991,2
623,chr12,66110000,67950000,2,1.78307265173453,0.269351963255142,0.4732474108206448,small,1.78307265173453,2
625,chr12,68320000,68850000,14,0.473649677328076,0.687594094651164,4.010148745403087,small,0.473649677328076,14
628,chr12,69880000,70730000,5,0.558233682844471,0.461210241824503,0.0693584632238228,small,0.558233682844471,5
635,chr12,76620000,82360000,6,3.35683643623758,0.282349291807177,0.9498150407823593,small,3.35683643623758,6
638,chr12,89010000,89540000,6,0.354675322747112,0.550986325718328,0.6308131522991257,small,0.354675322747112,6
642,chr12,91360000,93490000,2,1.52217089451708,0.272122413536346,0.9258366994131417,small,1.52217089451708,2
644,chr12,94130000,94540000,2,0.237806126753186,0.45294001883629,-0.7804132554266836,small,0.237806126753186,2
647,chr12,95610000,96040000,3,0.254945717345323,0.493000905631465,2.8197362978016494,small,0.254945717345323,3
