,0,1,2,3,4,5,RNA_rpkms,degree,TAD Volume,loop nums,Gene names
147,chr1,143690000,147250000,381,0.196909235709396,2.55956923611826,1.2689781693074396,ultra_high,0.196909235709396,381,"SRGAP2D,NBPF25P,POLR3GL,NBPF20,LIX1L-AS1,PFN1P6,NOTCH2NLA,LINC01145,CD160,POLR3C,FMO5,RNVU1-15,RBM8A,NBPF12,ITGA10,TXNIP,FAM72D,NBPF10,NUDT17,PEX11B,LIX1L,PFN1P3,GPR89A,PIAS3,GNRHR2,MIR6736,HJV,SRGAP2B,ANKRD34A,RPL7AP15,LINC01719,SSBL4P,RNF115,PDZK1,NBPF15,PDIA3P1,RNU1-153P,PRKAB2,FAM72C,CCT8P1,LINC02802,ANKRD35"
549,chr12,9060000,9110000,5,0.0063889176502594,1.98158035792109,-2.7908586021614084,ultra_high,0.0063889176502594,5,A2M-AS1
678,chr12,130750000,130820000,14,0.0184662325580958,1.9593812608176,-5.539519529959989,ultra_high,0.0184662325580958,14,
797,chr14,75310000,75660000,24,0.0260852479683684,2.06543625902287,-1.2670796178917427,ultra_high,0.0260852479683684,24,"BATF,JDP2-AS1,JDP2"
802,chr14,76870000,77140000,23,0.0160168679151116,2.33873916223591,1.1796702793474283,ultra_high,0.0160168679151116,23,"RPL22P2,CIPC,LINC02288,IRF2BPL"
963,chr16,30660000,30700000,2,0.0017827353741612,2.15307199166361,0.6252704893746932,ultra_high,0.0017827353741612,2,
1369,chr2,73170000,73220000,4,0.0020872622243835,2.53564932800459,-6.965784284662088,ultra_high,0.0020872622243835,4,NOTO
1371,chr2,74690000,74890000,15,0.0170142098378147,2.04264080518956,0.5023306017160116,ultra_high,0.0170142098378147,15,HK2-DT
1377,chr2,88560000,88690000,35,0.0089317307596824,3.10148620735673,-3.3510744405468786,ultra_high,0.0089317307596824,35,EIF2AK3-DT
1392,chr2,111120000,112120000,114,0.14164188347496,2.01263194833024,0.9307871277318578,ultra_high,0.14164188347496,114,"MERTK,PAFAH1B1P2,SOCAR,RN7SL297P,SLC30A6P1,RTRAFP1,MIR4435-2HG,EEF1E1P1,ANAPC1,TMEM87B,RPS14P4,CENPNP2"
1447,chr2,201180000,201240000,12,0.0030956702264523,3.0362361233868,0.2082050895044472,ultra_high,0.0030956702264523,12,"MTND4P23,CASP10,MTND5P25,MTND4LP13"
1511,chr20,25400000,31510000,148,0.18910638134693,1.98808468114819,1.5700212671496736,ultra_high,0.18910638134693,148,"MED28P7,FAM182A,NANP,NINL,FRG1BP,DUX4L37,FRG1DP,PCMTD1P7,MLLT10P1,GINS1,MIR663AHG,FRG1CP,ZNF337,ANKRD20A21P,VN1R108P,FAM182B,ZNF337-AS1"
1512,chr20,31510000,31560000,5,0.0015726681223544,2.87196660355338,0.3371401799558657,ultra_high,0.0015726681223544,5,MCTS2P
1516,chr20,34310000,34530000,25,0.0125717996170535,2.583392254317,1.4875720990017984,ultra_high,0.0125717996170535,25,"FDX1P1,CDC42P1,ITCH-IT1,ITCH,Y_RNA"
1535,chr20,44100000,44210000,9,0.0074272347986546,2.21808460600552,-7.795859283219775,ultra_high,0.0074272347986546,9,JPH2
1551,chr20,50470000,50580000,11,0.006552284511885,2.3518478565048,-3.50635266602479,ultra_high,0.006552284511885,11,
1553,chr20,50640000,50790000,12,0.0100258889883393,2.19628679346983,1.5434958834257717,ultra_high,0.0100258889883393,12,PARD6B
1723,chr3,42100000,42230000,15,0.0122381606367643,2.2538152405452,-3.5864059175908247,ultra_high,0.0122381606367643,15,"RNU4-78P,TPMTP2"
1747,chr3,72840000,73090000,27,0.0288140085235698,2.08619453741412,1.0709617123626587,ultra_high,0.0288140085235698,27,"PPP4R2,PSMD12P1,FTH1P23,GXYLT2,EBLN2,LAPTM4BP2"
1820,chr3,185590000,185660000,4,0.003702702922481,2.14542975306236,-2.4819685073978306,ultra_high,0.003702702922481,4,
2090,chr6,3060000,3120000,2,0.0021511558834727,2.07703231425844,1.417785018802193,ultra_high,0.0021511558834727,2,RIPK1
2139,chr6,56360000,56850000,36,0.0481158796590857,1.95405780143538,-6.107803289534515,ultra_high,0.0481158796590857,36,RCC2P7
2179,chr6,125770000,125960000,12,0.0135670104515354,2.05253795017659,1.31150311546827,ultra_high,0.0135670104515354,12,NCOA7
2321,chr7,102280000,103070000,78,0.0961170950323006,2.02071910148729,0.7404390637628917,ultra_high,0.0961170950323006,78,"ALKBH4,POLR2J,FAM185A,RASA4,LRRC17,RASA4B,RASA4DP,LRWD1,POLR2J3,SPDYE6,SPDYE2,SH2B2,ORAI2,PRKRIP1"
2390,chr8,22560000,22610000,2,0.0025462232092421,1.99523014223219,0.42519072149344705,ultra_high,0.0025462232092421,2,"PDLIM2,C8orf58"
2406,chr8,30600000,30660000,5,0.002793277176485,2.38676104087796,-5.795859283219775,ultra_high,0.002793277176485,5,SMIM18
2492,chr8,140460000,140640000,26,0.0137126510569589,2.49357675423683,1.5314188921182623,ultra_high,0.0137126510569589,26,"ERICD,CHRAC1,AGO2"
