,0,1,2,3,4,5,RNA_rpkms,degree,TAD Volume,loop nums
63,chr1,46240000,46370000,5,0.013958010475603,1.53005622403303,5.664781474634271,high,0.013958010475603,5
148,chr1,147250000,147310000,2,0.0029773299457214897,1.85733984737753,,high,0.0029773299457214897,2
151,chr1,147640000,150190000,190,0.27701149088419,1.8844662442197901,0.7047834528430308,high,0.27701149088419,190
158,chr1,156080000,156340000,24,0.039909746526611,1.78052944284561,4.066502560258138,high,0.039909746526611,24
206,chr1,182840000,182900000,2,0.00314794760731084,1.82461574500795,,high,0.00314794760731084,2
311,chr10,35120000,35240000,4,0.0113246254697269,1.51719506652145,-0.015228387614574906,high,0.0113246254697269,4
315,chr10,43140000,43650000,36,0.11191410439465099,1.47949765003465,4.093343611991645,high,0.11191410439465099,36
317,chr10,44860000,45010000,13,0.0190112741815313,1.87520027901351,1.9154730969433793,high,0.0190112741815313,13
335,chr10,67780000,67850000,2,0.004517980304738,1.63229774196731,2.6915341649192004,high,0.004517980304738,2
337,chr10,68330000,68720000,17,0.0449003667758562,1.55672041654964,1.8115083958848814,high,0.0449003667758562,17
352,chr10,86390000,86690000,20,0.039970783654073,1.6904389946912801,2.737578609302093,high,0.039970783654073,20
361,chr10,93370000,93520000,8,0.0129307387763411,1.8011331548136003,,high,0.0129307387763411,8
368,chr10,97210000,97750000,68,0.0979727751790872,1.9029139826332098,3.038506418263843,high,0.0979727751790872,68
404,chr10,124740000,124800000,2,0.00322877284992003,1.8064653167682,0.06212171190779749,high,0.00322877284992003,2
413,chr11,7510000,7690000,7,0.0256044501305683,1.42680307509805,-0.9127634816053901,high,0.0256044501305683,7
459,chr11,47170000,47850000,68,0.149929193099044,1.6484029047215802,3.5259087816409687,high,0.149929193099044,68
462,chr11,57340000,57820000,37,0.105242492540379,1.51171076107328,3.7311590998869297,high,0.105242492540379,37
464,chr11,59550000,59680000,10,0.013632774794696002,1.94178308417425,2.620516033367501,high,0.013632774794696002,10
465,chr11,59680000,59810000,8,0.0174230115945911,1.65606764528063,1.035506612682737,high,0.0174230115945911,8
467,chr11,60760000,61430000,49,0.18507353722944503,1.40489674429171,3.7327446951199423,high,0.18507353722944503,49
509,chr11,111870000,112290000,25,0.0930877663656241,1.41940460415883,1.6474296442218617,high,0.0930877663656241,25
514,chr11,116770000,117100000,18,0.0444770688963818,1.59486222891034,6.942113701046932,high,0.0444770688963818,18
517,chr11,118360000,118570000,11,0.0248928352188926,1.6297099678027498,1.3939042776245534,high,0.0248928352188926,11
602,chr12,52990000,53050000,6,0.009630029889499979,1.8188008473721902,5.146482124169932,high,0.009630029889499979,6
610,chr12,57000000,57190000,27,0.09106699717133698,1.4572198043142097,2.374807654490311,high,0.09106699717133698,27
611,chr12,57190000,57250000,4,0.0130954362383039,1.4677388633470703,4.146980997223229,high,0.0130954362383039,4
764,chr14,54510000,54570000,1,0.00243897115462947,1.6032968111268797,,high,0.00243897115462947,1
765,chr14,54570000,54810000,5,0.0151718915638871,1.4904958562458999,,high,0.0151718915638871,5
