,0,1,2,3,4,5,RNA_rpkms,degree,TAD Volume,loop nums
0,chr1,2190000,3430000,10,0.437330413600648,0.614113514708184,1.655916582784431,low,0.437330413600648,10
3,chr1,6040000,6700000,3,0.203750635011828,0.52553177437634,2.934011611518817,low,0.203750635011828,3
12,chr1,11650000,12660000,5,0.451233731138018,0.482665928191932,3.230108401106763,low,0.451233731138018,5
18,chr1,16070000,18590000,8,1.00229958019223,0.440483619050822,2.7473961096244586,low,1.00229958019223,8
26,chr1,20510000,22660000,10,1.12856412648367,0.459871094794891,3.024719942415485,low,1.12856412648367,10
28,chr1,22970000,23690000,6,0.185797582856672,0.718184883103063,2.965398115328724,low,0.185797582856672,6
34,chr1,26030000,26470000,2,0.0983247906909808,0.588044385548852,1.0382856631241708,low,0.0983247906909808,2
37,chr1,26890000,28240000,8,0.540674736892097,0.526690669705745,3.182422582327449,low,0.540674736892097,8
41,chr1,30920000,32880000,8,1.09759463160956,0.428305630065615,3.860609396211179,low,1.09759463160956,8
53,chr1,39100000,40040000,3,0.289657188355197,0.47722982058058,1.3334910848627073,low,0.289657188355197,3
54,chr1,40040000,40960000,6,0.235627885793504,0.647572227650739,3.2450102496428763,low,0.235627885793504,6
57,chr1,41250000,43710000,2,1.20319110398586,0.278691857950977,4.9459045873457335,low,1.20319110398586,2
66,chr1,47170000,47730000,2,0.156401172315669,0.502688146428535,1.680605666202593,low,0.156401172315669,2
69,chr1,50770000,52010000,2,0.429076563120369,0.379008102876931,2.7197232351236567,low,0.429076563120369,2
73,chr1,53470000,54490000,4,0.369715548465674,0.480607701369755,3.131996851527247,low,0.369715548465674,4
96,chr1,75720000,77140000,4,0.348577338102202,0.488606443961596,2.353958388894692,low,0.348577338102202,4
115,chr1,92840000,93850000,3,0.21570520880774,0.516381638437226,1.5733260479755056,low,0.21570520880774,3
127,chr1,107750000,109780000,11,0.648994216515601,0.551587492844494,2.337147896491307,low,0.648994216515601,11
141,chr1,114340000,115120000,6,0.167448115954713,0.743069143422644,3.8016191272872457,low,0.167448115954713,6
142,chr1,115120000,116500000,6,0.478600617464508,0.499173602693115,3.5057956782334454,low,0.478600617464508,6
154,chr1,152050000,153790000,20,0.638858008856226,0.709738832333161,3.4556974520128576,low,0.638858008856226,20
156,chr1,153990000,154950000,9,0.250823360916273,0.744325031421511,5.1302219352649985,low,0.250823360916273,9
159,chr1,156340000,157170000,9,0.339801555098773,0.658886292731349,3.5200753790843167,low,0.339801555098773,9
176,chr1,167560000,168600000,2,0.368331835354642,0.392829529243725,1.373201271837634,low,0.368331835354642,2
213,chr1,186300000,192460000,6,1.79718767765992,0.345817458631781,1.1381591452294704,low,1.79718767765992,6
215,chr1,193060000,201820000,13,2.42988951781657,0.390261157104221,1.959287940041679,low,2.42988951781657,13
218,chr1,202000000,203010000,2,0.366312211476186,0.395071527869899,2.0562505603206795,low,0.366312211476186,2
